,140,14,35,70
"origin_1,1_8,1",82.89¡À1.31,55.50¡À14.40,74.32¡À0.78,80.84¡À1.46
"train_4,1_4,1",82.04¡À0.96,64.89¡À5.51,72.86¡À1.04,79.20¡À2.70
"train_4,1_6,1",82.04¡À0.86,56.00¡À12.40,71.68¡À3.72,80.03¡À3.27
"train_6,1_4,1",81.36¡À2.14,66.90¡À2.60,73.19¡À2.91,79.58¡À1.72
"train_8,1_1,1",78.57¡À3.03,54.94¡À12.16,67.42¡À3.98,74.79¡À5.31
